time_s,radius_nm
1e-06,2.566211180972016
1.0472898382363596e-06,2.5976187886730777
1.096816005273138e-06,2.629195920485669
1.1486842567375548e-06,2.6609382736466065
1.2030053494233242e-06,2.6928426157636904
1.2598952777950284e-06,2.724898587059994
1.319475521676706e-06,2.757095212004081
1.3818733056536336e-06,2.789421986795647
1.4472218707411344e-06,2.8218732546835623
1.5156607589006043e-06,2.8544483737328066
1.5873361110102087e-06,2.8871405253337383
1.6624009789266135e-06,2.9199380194088906
1.7410156523040153e-06,2.952830265494941
1.8233480008684424e-06,2.9858080855121267
1.9095738328780964e-06,3.018878243101825
1.999877270535287e-06,3.0520340239727264
2.094451143151469e-06,3.085265102649595
2.19349739890506e-06,3.1185610762859834
2.2972275360711513e-06,3.1519126605740735
2.4058630546440666e-06,3.185325657518955
2.5196359293170137e-06,3.218799957738929
2.6387891048289347e-06,3.252325168427534
2.7635770147361575e-06,3.285891510168587
2.894266124716752e-06,3.3194889387941418
3.031135501567576e-06,3.353124442678242
3.1744774091091935e-06,3.386801808582272
3.3245979322709383e-06,3.4205117451327367
3.4818176306889665e-06,3.45424495076811
3.646472223212745e-06,3.487991386117576
3.8189133047818546e-06,3.521757414622675
3.99950909720367e-06,3.555551484854876
4.188645235435271e-06,3.5893647439288126
4.386725591048494e-06,3.6231886989550195
4.594173134636477e-06,3.6570148460018257
4.811430839003264e-06,3.690846003941303
5.03896262506515e-06,3.7246946327446824
5.277254352483532e-06,3.758553621131527
5.526814857144603e-06,3.7924148846763033
5.78817703770128e-06,3.826270510400845
6.061898993497572e-06,3.8601211502836716
6.348565216305224e-06,3.893982511646217
6.648787838417263e-06,3.927848374392587
6.9632079397638905e-06,3.9617112268970667
7.2924969168414445e-06,3.995563672414505
7.637357916378027e-06,4.029403765077432
7.998527336796707e-06,4.063250314610552
8.376776400682924e-06,4.097097901093181
8.772912801613357e-06,4.130939406321198
9.18778242886334e-06,4.164767877633889
9.622271173675134e-06,4.198581296934639
1.0077306820944618e-05,4.232395493145617
1.055386103036523e-05,4.266208958892212
1.105295141126022e-05,4.300014673575293
1.1575643695533035e-05,4.333806114480536
1.2123054013376529e-05,4.367579482632012
1.2696351276599727e-05,4.401351170285856
1.3296759674662126e-05,4.435120778485752
1.3925561288744647e-05,4.4688817009688195
1.4584098829439864e-05,4.502628023058866
1.5273778503907123e-05,4.536356208789613
1.5996073018614878e-05,4.570076767181944
1.6752524724082173e-05,4.603796200101562
1.7544748908334598e-05,4.637506676458226
1.837443724610725e-05,4.671202349516134
1.92433614111598e-05,4.704879292932555
2.0153376859417352e-05,4.738547260474322
2.1106426791015548e-05,4.7722111425815585
2.2104546299710195e-05,4.805866749683809
2.314986671851161e-05,4.839507520318036
2.424462017082331e-05,4.873128585658116
2.539114433680347e-05,4.906737445477966
2.659188744512691e-05,4.9403432745422355
2.784941350080644e-05,4.973939686068342
2.916640776023707e-05,5.007521583164985
3.054568246515432e-05,5.041083861276398
3.199018284775067e-05,5.07463112230781
3.35029934197723e-05,5.1081739578374625
3.508734455902715e-05,5.141707184573188
3.674661940736688e-05,5.175225834651686
3.848436109487433e-05,5.208725045616088
4.030428030568051e-05,5.242206801150882
4.221026320156903e-05,5.2756819427907615
4.42063797202853e-05,5.30914722412275
4.629689226627268e-05,5.342597684149719
4.848626481239078e-05,5.376027465573098
5.077917243205404e-05,5.409439188796644
5.318051128214197e-05,5.442841876915353
5.569540905800136e-05,5.476233902150155
5.832923594286212e-05,5.509610604056162
6.10876160750504e-05,5.542967501247962
6.397643955748424e-05,5.576303477303267
6.70018750350959e-05,5.609627377943237
7.017038286703837e-05,5.642939852486332
7.348872892180388e-05,5.676236597550403
7.696399902471151e-05,5.709513363449779
8.060361408861346e-05,5.7427670243662305
8.441534596012994e-05,5.776005761099732
8.840733401525063e-05,5.809232257007389
9.258810253973945e-05,5.84244228744732
9.69665789314552e-05,5.875631785349782
0.00010155211276345681,5.908797698312098
0.00010635449574860112,5.941945123656532
0.00011138398264826194,5.975077832815755
0.00011665131316981962,6.008194114729485
0.00012216773489967918,6.04128922722861
0.00012794502732078734,6.074359767189073
0.00013399552696593384,6.1074074443136155
0.00014033215376054847,6.140440323775868
0.0001469684386112446,6.1734551158628515
0.00015391855229902055,6.206448257406191
0.0001611973357388157,6.239415601112745
0.00016882033167003627,6.272359394949076
0.00017680381784572087,6.30528441918123
0.0001851648417912156,6.338190379888106
0.0001939212572065831,6.371073836653148
0.00020309176209047368,6.403931774032904
0.0002126959386668692,6.436761733221211
0.00022275429519995587,6.469569836969305
0.00023328830978641582,6.502359643692661
0.00024432047621864895,6.53512615727227
0.0002558743520168589,6.567866446913854
0.0002679746087325692,6.60057707318655
0.0002806470846309839,6.633263087206497
0.0002939188398646887,6.665929129908827
0.000307818214256508,6.698571164454017
0.00032237488781490303,6.731186376038597
0.000337619944111134,6.763772180137196
0.00035358593665351794,6.796330885300155
0.0003703069584005141,6.8288657316974595
0.0003878187145610724,6.861376159676024
0.00040615859883769796,6.89385923490162
0.00042536577327503876,6.9263119398067055
0.00044548125188449884,6.958733232205761
0.0004665479882234473,6.991129853124567
0.0004886109671160327,7.023502296756975
0.0005117173007114605,7.055846652185955
0.0005359163290848515,7.088160609258378
0.0005612597255954971,7.1204424366992685
0.0005878016072274912,7.152695624264492
0.0006155986501483508,7.184922843966635
0.000644710210732387,7.217122032337582
0.0006751984523072501,7.249290497627767
0.0007071284778942997,7.281426191682956
0.0007405684692262435,7.313529645516454
0.0007755898323389002,7.345606164885445
0.000812267350047972,7.3776542865059636
0.0008506793416364162,7.409671379574156
0.0008909078300934143,7.441655588846972
0.000933038717262037,7.4736058108274115
0.0009771619672696182,7.505525454525492
0.0010233717986325203,7.537417018200369
0.0010717668854455034,7.569277618169554
0.001122450568085307,7.601104975024074
0.0011755310738783698,7.6328974622091765
0.0012311217482038907,7.664657044697249
0.0012893412965257157,7.696387101614639
0.0013503140378698735,7.728086173371956
0.001414170170289024,7.759751798383232
0.0014810460488806755,7.791382708119338
0.0015510844769528406,7.822978333335079
0.001624435010958867,7.854542597476989
0.0017012542798525892,7.886075515699
0.0017817063195457307,7.917575459641998
0.001865962923181746,7.949040486228253
0.0019542040079740535,7.98046918805572
0.00204661799939199,8.011863649071499
0.0021434022335148567,8.043226784695236
0.002244763378413224,8.07455703266354
0.0023509178754572866,8.105852430486047
0.0024620924014946257,8.137111712388519
0.002578524352884274,8.168334558029647
0.0027004623524206823,8.199524455924669
0.0028281667802300325,8.230681440142781
0.0029619103297725533,8.261804117650524
0.003101978590138097,8.292890793452479
0.003248670655878375,8.323940173068985
0.0034022997656780714,8.35495401702028
0.0035631939712285877,8.385934973529123
0.0037316968377327556,8.416881954554428
0.003908168177536268,8.447793209405242
0.004092984818452442,8.478667569170542
0.0042865414084209295,8.509504557346846
0.004489251258218608,8.540306869805343
0.0047015472240221345,8.571075542336706
0.004923882631706742,8.601809172472997
0.005156732244854969,8.632506118656734
0.005400593278542374,8.6631656351914
0.005655986461065008,8.693787995841456
0.005923457145875806,8.724376371498279
0.006203576476104275,8.754930085252784
0.006496942604146125,8.785448309866737
0.006804181968927101,8.81592860424799
0.007125950633568411,8.84636986891582
0.007462935686310138,8.876776169021282
0.007815856707684091,8.907148494569569
0.008185467307069028,8.937485422537415
0.008572556731909325,8.967786110863777
0.008977951553033322,8.99804885344494
0.009402517429670132,9.02827337638401
0.009847160957933775,9.058462752903262
0.010312831606721848,9.08861751088478
0.01080052374516254,9.118736335829606
0.011311278765939214,9.148818348235409
0.011846187309026849,9.17886249897005
0.012406391590588319,9.20886931509693
0.012993087842004172,9.238840815351574
0.013607528864243332,9.268777198354176
0.014251026703029992,9.298677209198837
0.014924955450518291,9.328540165020035
0.015630754179458174,9.358364875547553
0.01636993001611702,9.388152889251732
0.01714406135851972,9.417906147459316
0.017954801246878305,9.4476239746762
0.018803880893409165,9.477305127057543
0.019693113379074218,9.506949021171856
0.020624397525140926,9.53655527725129
0.02159972194782717,9.566125105561873
0.022621169304690263,9.595659531446804
0.02369092074182632,9.625158865084465
0.024811260551377702,9.654622102891956
0.025984581049292473,9.684047027036693
0.027213387683753087,9.713433715068318
0.02850030438518105,9.742785425908462
0.029848079169243275,9.772102465862227
0.03125959000482284,9.8013838306975
0.03273785095948577,9.83062899984975
0.0342860186355659,9.859836900845758
0.03590739891061055,9.88900719593167
0.03760545399658176,9.918141945345745
0.03938380983288489,9.947242072416115
0.041246263829013564,9.976306484534618
0.04319679297334174,10.005334781580942
0.04523956232538058,10.034326125757923
0.04737893390963144,10.063280534810326
0.04961947603002908,10.0921995546589
0.05196597302486197,10.121083915719645
0.05442343548300272,10.149932735994705
0.05699711094326075,10.178745531018848
0.05969249509970739,10.207521674586154
0.06251534353689711,10.236260706164687
0.06547168402004742,10.264964749796546
0.06856782936641738,10.293634907784595
0.07181039092537356,10.322269995962056
0.07520629269592408,10.35086893282811
0.07876278611187063,10.379431602163445
0.08248746552614582,10.40795793727731
0.08638828442740454,10.43644964246263
0.09047357242349294,10.464906788369198
0.09475205302806547,10.493329404952727
0.09923286228832545,10.521716911230751
0.1039255682936713,10.550068000838905
0.10884019160690055,10.578382616791167
0.11398722666160525,10.606663066453375
0.11937766417144358,10.634909763112866
0.1250230145991456,10.66312192538861
0.13093533273536095,10.691299320706865
